file
Series ID,Year,Period,Label,Value,1-Month % Change
CUUR0000SA0,2013,M01,2013 Jan,230.280,0.3
CUUR0000SA0,2013,M02,2013 Feb,232.166,0.8
CUUR0000SA0,2013,M03,2013 Mar,232.773,0.3
CUUR0000SA0,2013,M04,2013 Apr,232.531,-0.1
CUUR0000SA0,2013,M05,2013 May,232.945,0.2
CUUR0000SA0,2013,M06,2013 Jun,233.504,0.2
CUUR0000SA0,2013,M07,2013 Jul,233.596,0.0
CUUR0000SA0,2013,M08,2013 Aug,233.877,0.1
CUUR0000SA0,2013,M09,2013 Sep,234.149,0.1
CUUR0000SA0,2013,M10,2013 Oct,233.546,-0.3
CUUR0000SA0,2013,M11,2013 Nov,233.069,-0.2
CUUR0000SA0,2013,M12,2013 Dec,233.049,0.0
CUUR0000SA0,2014,M01,2014 Jan,233.916,0.4
CUUR0000SA0,2014,M02,2014 Feb,234.781,0.4
CUUR0000SA0,2014,M03,2014 Mar,236.293,0.6
CUUR0000SA0,2014,M04,2014 Apr,237.072,0.3
CUUR0000SA0,2014,M05,2014 May,237.900,0.3
CUUR0000SA0,2014,M06,2014 Jun,238.343,0.2
CUUR0000SA0,2014,M07,2014 Jul,238.250,0.0
CUUR0000SA0,2014,M08,2014 Aug,237.852,-0.2
CUUR0000SA0,2014,M09,2014 Sep,238.031,0.1
CUUR0000SA0,2014,M10,2014 Oct,237.433,-0.3
CUUR0000SA0,2014,M11,2014 Nov,236.151,-0.5
CUUR0000SA0,2014,M12,2014 Dec,234.812,-0.6
CUUR0000SA0,2015,M01,2015 Jan,233.707,-0.5
CUUR0000SA0,2015,M02,2015 Feb,234.722,0.4
CUUR0000SA0,2015,M03,2015 Mar,236.119,0.6
CUUR0000SA0,2015,M04,2015 Apr,236.599,0.2
CUUR0000SA0,2015,M05,2015 May,237.805,0.5
CUUR0000SA0,2015,M06,2015 Jun,238.638,0.4
CUUR0000SA0,2015,M07,2015 Jul,238.654,0.0
CUUR0000SA0,2015,M08,2015 Aug,238.316,-0.1
CUUR0000SA0,2015,M09,2015 Sep,237.945,-0.2
CUUR0000SA0,2015,M10,2015 Oct,237.838,0.0
CUUR0000SA0,2015,M11,2015 Nov,237.336,-0.2
CUUR0000SA0,2015,M12,2015 Dec,236.525,-0.3
CUUR0000SA0,2016,M01,2016 Jan,236.916,0.2
CUUR0000SA0,2016,M02,2016 Feb,237.111,0.1
CUUR0000SA0,2016,M03,2016 Mar,238.132,0.4
CUUR0000SA0,2016,M04,2016 Apr,239.261,0.5
CUUR0000SA0,2016,M05,2016 May,240.229,0.4
CUUR0000SA0,2016,M06,2016 Jun,241.018,0.3
CUUR0000SA0,2016,M07,2016 Jul,240.628,-0.2
CUUR0000SA0,2016,M08,2016 Aug,240.849,0.1
CUUR0000SA0,2016,M09,2016 Sep,241.428,0.2
CUUR0000SA0,2016,M10,2016 Oct,241.729,0.1
CUUR0000SA0,2016,M11,2016 Nov,241.353,-0.2
CUUR0000SA0,2016,M12,2016 Dec,241.432,0.0
CUUR0000SA0,2017,M01,2017 Jan,242.839,0.6
CUUR0000SA0,2017,M02,2017 Feb,243.603,0.3
CUUR0000SA0,2017,M03,2017 Mar,243.801,0.1
CUUR0000SA0,2017,M04,2017 Apr,244.524,0.3
